421;Porto Alegre;Rio Grande do Sul;RS
425;Salvador;Bahia;BA
428;Ilhéus;Bahia;BA
432;Rio de Janeiro;Rio de Janeiro;RJ
438;Nova Friburgo;Rio de Janeiro;RJ
440;Salvador;Bahia;BA
441;Florianopolis;Santa Catarina;SC
443;Belo Horizonte;Minas Gerais;MG
446;Recife;Pernambuco;PE
448;Rio de Janeiro;Rio de Janeiro;RJ
450;Recife;Pernambuco;PE
453;Recife;Pernambuco;PE
454;Belo Horizonte;Minas Gerais;MG
459;Rio de Janeiro;Rio de Janeiro;RJ
466;Brasília;Distrito Federal;DF
471;Florianópolis;Santa Catarina;SC
477;Olinda;Pernambuco;PE
478;São Paulo;São Paulo;SP
479;Brasília;Distrito Federal;DF
488;Belo Horizonte;Minas Gerais;MG
492;Brasília;Distrito Federal;DF
494;Rio de Janeiro;Rio de Janeiro;RJ
495;Rio de Janeiro;Rio de Janeiro;RJ
497;Esteio;Rio Grande do Sul;RS
503;Rio de Janeiro;Rio de Janeiro;RJ
504;Santos;São Paulo;SP
508;Recife;Pernambuco;PE
509;Porto Alegre;Rio Grande do Sul;RS
513;São Paulo;São Paulo;SP
517;Tatuí;São Paulo;SP
521;Salvador;Bahia;BA
523;Rio de Janeiro;Rio de Janeiro;RJ
524;Sao Paulo;São Paulo;SP
526;São Paulo;São Paulo;SP
529;Brasilia;Distrito Federal;DF
530;Goiânia;Goiás;GO
533;Porto Alegre;Rio Grande do Sul;RS
536;Belo Horizonte;Minas Gerais;MG
542;São Paulo;São Paulo;SP
544;Rio de Janeiro;Rio de Janeiro;RJ
547;Olinda;Pernambuco;PE
551;TAGUATINGA;Distrito Federal;DF
560;Chapada;Bahia;BA
567;Brasília;Distrito Federal;DF
571;Escada;Pernambuco;PE
572;Salvador;Bahia;BA
574;Brasília;Distrito Federal;DF
576;Florianópolis;Santa Catarina;SC
580;Rio de Janeiro;Rio de Janeiro;RJ
581;Ipatinga;Minas Gerais;MG
584;Vila Velha;Espírito Santo;ES
586;Rio de Janeiro;Rio de Janeiro;RJ
587;Ponta Porã;Mato Grosso do Sul;MS
588;Rio de Janeiro;Rio de Janeiro;RJ
589;Olinda;Pernambuco;PE
595;Brasília;Distrito Federal;DF
598;TAGUATINGA;Distrito Federal;DF
599;Irineópolis;Santa Catarina;SC
600;SOBRADINHO;Distrito Federal;DF
601;Recife;Pernambuco;PE
603;Brasilia;Distrito Federal;DF
